"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1998",318347024,255000,2018-02-23,"2001-06-12",1.0078,2016-11-18,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"1999",318347042,131500,2018-11-28,"2001-06-12",1.2099,2016-11-15,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2000",318348016,65000,2018-08-27,"2001-06-12",1.2699,2019-03-13,"SEWER/SEPTIC AVAIL","WATER AVAILABLE","POWER AVAILABLE",NA,NA,1349,"N","N","N","N","N","N","N",1
"2001",318348018,150000,2018-07-05,"2001-06-12",1.26,2016-12-12,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2002",318348035,97000,2018-05-09,"2001-06-12",1.21,2016-12-06,"SEWER/SEPTIC AVAIL","WATER INSTALLED","POWER AVAILABLE",NA,NA,1349,"N","N","N","N","N","N","N",1
"2003",318348036,97000,2018-05-09,"2001-06-12",1.2199,2016-12-06,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,1349,"N","N","N","N","N","N","N",1
"2004",318348061,330000,2018-04-12,"2001-06-12",1.96,2016-12-08,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,1349,"N","N","N","N","N","N","N",1
"2005",318354009,296500,2018-07-11,"2001-06-12",5.76,2017-01-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2006",318355004,264550,2018-09-19,"2001-06-12",1.9599,2018-07-17,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2007",318357021,32000,2018-04-19,"2001-06-12",1.0224,2017-01-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2008",318357023,70000,2018-09-26,"2001-06-12",1.2699,2017-01-04,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2009",318357037,389000,2018-10-08,"2001-06-12",2,2017-01-04,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,1349,"N","N","N","N","N","N","N",1
"2010",319011000,90000,2018-07-24,"2009-07-15",0.9099,2019-03-25,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","N","N","Y","N","Y","N",1
"2011",319021062,435000,2018-07-27,"2009-06-15",1.03,2019-03-21,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","N","N","Y","N","Y","N",1
"2012",319022060,1e+05,2018-08-20,"2009-06-15",0.3,2019-04-18,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","Y","N","Y","Y","Y","N",1
"2013",319023021,215000,2018-01-24,"2009-01-02",1.43,2019-02-21,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","Y","N","Y","Y","Y","N",1
"2014",319023055,291000,2018-12-07,"2009-01-02",0.2726,2019-02-21,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","N","N","Y","Y","Y","N",1
"2015",319023058,330000,2018-11-30,"2009-01-02",0.2809,2019-02-21,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","N","N","Y","Y","Y","N",1
"2016",319024032,345000,2018-01-25,"2009-06-15",0.28,2019-03-25,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"N","N","N","Y","Y","Y","N",1
"2017",319031005,175000,2018-07-27,"2009-01-02",0.15,2019-04-15,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","N","N","N","Y","N",1
"2018",319032057,70000,2018-11-01,"2009-01-02",0.28,2019-05-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","N","N","N","Y","N",1
"2019",319032086,268500,2018-11-21,"2009-01-02",0.1848,2019-05-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","N","N","N","Y","N",1
"2020",319033015,370000,2018-08-13,"2009-01-02",1.3799,2019-04-15,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","N","N","Y","Y","N",1
"2021",319036019,280000,2018-05-18,"2009-01-02",0.3122,2019-04-15,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","N","N","N","Y","N",1
"2022",319037001,825000,2018-04-03,NA,NA,NA,NA,NA,NA,NA,NA,5407,"N","Y","Y","N","Y","Y","N",1
"2023",319041102,165000,2018-01-17,"2018-01-24",0.2066,2018-05-08,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","N","N","Y","N",1
"2024",319042083,1e+06,2018-08-02,NA,NA,NA,NA,NA,NA,NA,NA,5407,"Y","Y","Y","N","N","Y","N",1
