Parcel_Number,sale_price,Sale_Date,Land_Economic_Area,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_healthcare,near_libraries,near_policestation,near_schools,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7001860980,389250,2018-08-10,2005-01-05,0.1874,0,0,1428,0,0,0,0,0,1,1,2922,1,6,5,0,0,0,1,1,0,1,2,4,2.75,2006
7001870340,573000,2018-03-23,2003-05-15,0.2438,1,0,1275,0,0,0,0,0,1,0,3581,1,6,6,0,0,0,1,1,1,1,2,5,2.75,2005
7001900270,385500,2018-03-13,2005-05-14,0.1377,0,0,94,0,0,0,0,0,0,0,2384,1,6,5,0,0,0,1,1,0,1,2,4,2.5,2013
7001910730,600000,2018-06-20,2003-05-15,0.184,0,0,1275,0,0,0,0,0,1,0,3158,1,6,7,0,0,0,0,1,0,1,2,4,2.5,2012
7001920080,270000,2018-03-28,2002-02-10,0.0688,0,0,1428,1,0,1,0,1,1,0,2059,1,6,5,0,0,0,0,1,0,1,2,4,2.5,2007
7001920120,310000,2018-06-04,2002-02-10,0.0857,0,0,1428,1,0,1,0,1,0,0,2059,1,6,5,0,0,0,1,1,0,1,2,4,2.5,2007
7001920150,293950,2018-04-25,2002-02-10,0.0488,0,0,1428,0,0,1,0,1,0,0,1730,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2015
7001920250,275000,2018-05-03,2002-02-10,0.0454,0,0,1428,0,0,1,0,1,0,0,1722,1,6,5,0,0,0,0,1,0,1,2,3,2.5,2007
7001920290,269000,2018-12-06,2002-02-10,0.0728,0,0,1428,1,0,1,0,1,0,0,1592,1,6,5,0,0,0,0,1,0,1,2,3,2.5,2007
7001920720,273400,2018-04-13,2002-02-10,0.0527,0,0,1428,0,1,1,0,1,0,0,1460,1,6,5,0,0,0,0,1,0,0,2,3,2.5,2013
7001950070,325000,2018-02-22,2005-05-11,0.0918,0,0,1428,0,0,1,1,0,1,0,1814,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2006
7001950341,380000,2018-06-04,2005-05-11,0.2514,0,0,1428,0,0,1,0,0,1,0,2488,1,6,5,0,0,0,1,1,0,2,2,3,2.5,2006
7001960360,375500,2018-04-09,2005-05-11,0.115,0,0,1428,0,1,0,1,1,1,0,1977,1,6,5,0,0,0,1,1,0,1,2,4,2.5,2013
7001960380,405000,2018-09-13,2005-05-11,0.1002,0,0,1428,0,1,0,1,1,1,0,2349,1,6,6,0,0,0,1,1,0,1,2,4,2.5,2014
7001960421,630000,2018-10-11,2005-05-11,0.447,0,0,1428,0,1,0,1,1,1,0,3546,1,6,6,0,0,0,0,1,0,2,2,4,2.5,2008
7001960540,459950,2018-01-03,2005-05-11,0.1492,0,0,1428,0,0,0,1,0,1,0,2861,1,6,6,0,0,0,1,1,0,1,2,4,2.5,2014
7001960560,367500,2018-08-03,2005-05-11,0.1214,0,0,1428,0,0,0,1,0,1,0,2120,1,6,5,1,0,0,0,1,0,1,2,3,2.5,2007
7001971910,345000,2018-10-08,2005-01-05,0.1658,0,0,1428,0,0,0,0,0,1,1,3004,1,6,5,0,0,0,1,1,0,2,2,4,2.5,2006
7001990060,325000,2018-08-16,2005-01-05,0.1149,0,0,1428,0,1,0,0,1,0,0,2644,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2006
7001990310,315000,2018-08-24,2005-01-05,0.1337,0,0,1428,0,1,0,1,1,0,0,2290,1,6,5,0,0,0,1,1,0,1,2,4,3,2006
7001990940,128899,2018-01-18,2005-01-05,0.1352,0,0,1428,0,1,0,1,1,0,0,2819,1,6,5,0,0,0,1,1,0,1,2,4,2.5,2006
7001991400,345000,2018-05-22,2005-01-05,0.1235,0,0,1428,0,1,0,0,1,0,0,2362,1,6,5,0,0,0,1,1,0,2,2,4,2.5,2013
6440004060,269900,2018-11-01,2017-01-14,0.1354,0,0,943,0,1,0,0,0,1,0,1075,1,6,4,0,0,0,1,1,0,0,1,3,1.75,1987
6440004202,225000,2018-12-11,2017-01-14,0.1297,0,0,943,0,1,0,0,1,1,0,1628,1,6,4,0,0,0,0,1,0,1,2,3,2.5,1984
6440004264,215000,2018-01-02,2017-01-14,0.1469,0,0,943,0,1,0,0,1,1,0,855,1,6,4,0,0,0,1,1,0,0,1,4,1,1986
6440004600,206000,2018-08-30,2017-01-14,0.1469,0,0,943,0,1,0,0,1,1,0,1072,1,4,3,0,0,0,0,0,0,0,1,2,1,1956
6440005330,390000,2018-08-16,2017-01-14,0.1469,0,0,943,0,1,0,0,0,1,0,2773,1,6,6,0,0,0,0,0,0,1,3,5,3,1993
6440005550,265000,2018-10-11,2017-01-14,0.1821,0,0,943,0,1,0,0,1,1,0,929,1,6,4,0,0,0,1,1,0,0,1,3,1,1976
6440005564,256950,2018-01-26,2017-01-14,0.1469,0,0,943,0,1,0,0,1,1,0,1104,1,6,4,0,0,0,0,1,0,1,1,3,1.75,1983
6445000700,210000,2018-09-12,2017-12-01,0.1285,0,0,1351,0,0,1,0,1,1,0,1155,1,4,2,0,0,0,0,0,0,1,1,2,1,1948
6445100881,260000,2018-04-03,2017-12-01,0.1377,0,0,1351,0,1,0,0,1,1,0,1081,1,6,4,0,1,0,1,0,0,0,1,3,1,1974
6450001010,275000,2018-07-09,2014-12-01,0.3434,0,0,46,1,1,1,1,1,1,0,1350,1,6,4,0,0,0,0,1,0,1,1,3,1,1995
6490000710,150000,2018-09-20,2001-02-03,0.6267,0,1,214,0,0,0,0,0,0,0,1226,1,5,3,0,1,0,1,0,0,1,1,1,1,1970
6531500150,475000,2018-03-30,2012-07-04,0.5693,0,0,149,0,1,0,0,0,0,0,1598,1,6,5,0,1,1,1,0,0,1,1,4,2.75,1993
6531500200,430000,2018-07-02,2012-07-04,0.4178,0,0,149,0,1,0,0,0,0,0,1694,1,6,6,0,0,0,1,1,0,1,1,3,2,1992
6532510290,455000,2018-12-28,2011-01-05,0.4706,0,0,451,0,1,0,0,1,1,0,2442,1,6,4,0,0,0,0,0,0,1,3,3,2.25,2001
6532520140,359950,2018-01-08,2011-01-05,0.3526,0,0,451,0,1,0,0,1,1,0,2083,1,6,5,0,0,0,1,1,0,1,2,3,2.25,1987
6532520560,387500,2018-03-15,2011-01-05,0.3466,0,0,451,0,1,0,0,1,1,0,1234,1,6,5,0,1,1,1,1,0,0,1,3,2,1993
6550250130,325950,2018-09-19,2017-01-25,0.1377,0,0,943,0,1,1,0,1,1,0,1787,1,6,3,0,0,0,0,0,0,1,1,2,1,1983
6550250191,232500,2018-03-28,2017-01-25,0.1377,0,0,943,0,1,1,0,1,1,0,984,1,6,4,0,0,0,1,1,0,0,1,3,1,1985
6555000590,450000,2018-08-28,2016-04-02,0.1377,0,0,1054,0,1,1,1,1,1,1,1897,1,6,4,0,0,0,1,0,0,0,1.5,3,2,1974
6555200190,305000,2018-06-04,2016-04-02,0.1262,0,0,1054,0,1,1,1,1,1,1,928,1,6,4,0,0,0,1,0,1,0,1,2,1,1988
6565000760,220000,2018-01-04,2005-01-05,0.2203,0,0,1428,0,1,0,1,1,1,1,1019,1,6,3,0,0,0,1,1,0,0,1,3,1.75,1961
6936300120,290000,2018-05-03,2005-07-01,0.1893,0,0,1428,0,0,1,0,1,1,0,1452,1,6,4,0,0,0,1,1,0,0,2,3,2.5,2018
6936300170,215000,2018-01-29,2005-07-01,0.1893,0,0,1428,0,1,1,0,1,1,0,1322,1,6,5,0,0,0,0,0,0,1,1,3,2,2004
6936300260,283000,2018-07-26,2005-07-01,0.1893,0,0,1428,0,1,1,0,1,1,0,1122,1,6,5,0,0,0,1,1,0,1,1,3,2,1996
6995100430,281000,2018-07-21,2005-07-01,0.1893,0,0,1428,0,1,0,0,1,1,0,1224,1,6,4,0,0,0,0,1,0,0,1,3,2,2010
6995200520,100000,2018-12-14,2005-07-01,0.202,0,0,1428,0,1,0,0,0,1,0,1774,1,6,5,0,0,0,1,0,0,1,1,3,1,1979
6995200600,313000,2018-05-30,2005-07-01,0.202,0,0,1428,0,1,0,0,0,0,0,1452,1,6,4,0,0,0,1,1,0,0,2,3,2.5,2018
6995200790,283000,2018-01-29,2005-07-01,0.2479,0,0,1428,0,1,0,0,0,0,0,1355,1,6,4,0,0,0,0,1,0,0,2,2,2,2009
6995201371,275000,2018-10-10,2005-07-01,0.3018,0,0,1428,0,0,0,0,0,0,0,1288,1,6,5,0,0,0,1,0,0,0,1,3,1.5,2004
