"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11748",420234068,405000,2018-04-26,2004-03-01,0.1758,"1","0",4215,"0","1","1","1","1","1","1",1508,"6","5","0","0","0","1","0","1",1,1.5,4,2,2002
"11749",420235048,279000,2018-03-26,2004-03-01,0.9699,"0","0",4215,"0","0","0","1","0","0","1",1380,"3","4","0","1","1","0","0","0",1,1,5,2.5,1966
"11750",420241064,140000,2018-03-05,2003-02-03,0.23,"0","0",4215,"0","1","1","1","1","1","1",2463,"6","2","0","0","0","1","0","0",1,2.5,5,2.75,1980
"11751",420244083,449000,2018-08-15,2003-02-03,0.23,"0","0",4215,"0","1","1","1","1","1","1",2365,"6","5","0","0","0","0","0","0",1,2,3,1.75,1992
"11752",420244113,330000,2018-01-11,2003-02-03,0.1308,"0","0",4215,"0","1","1","1","1","1","1",1970,"6","5","0","0","0","0","1","0",0,1.5,4,2,1973
"11753",420252046,317000,2018-11-28,2003-02-03,0.2066,"0","0",4215,"0","1","1","1","1","1","1",1372,"6","3","0","0","0","0","0","0",0,1,3,1,1994
"11754",420254090,290000,2018-07-05,2003-02-03,0.23,"0","0",4215,"0","1","1","0","1","1","0",1375,"6","4","0","0","0","1","0","0",2,1,3,1,1981
"11755",420257004,256250,2018-07-03,2009-09-01,0.31,"0","0",4215,"0","0","0","0","0","1","0",1020,"6","3","0","0","0","1","0","0",1,1,2,1,1980
"11756",420263061,311500,2018-05-08,2009-09-01,0.25,"0","0",4215,"0","0","1","0","0","1","0",1792,"6","4","0","0","0","1","0","0",2,1,4,2,1981
"11757",420267021,409950,2018-03-26,2009-09-01,0.101,"0","0",4215,"0","0","0","0","0","1","0",2100,"6","5","0","0","0","1","1","0",1,2,4,2.5,2017
"11758",420272067,369900,2018-12-27,2009-06-01,0.1865,"0","0",4215,"0","1","0","0","1","1","0",2556,"6","4","0","0","0","0","0","0",0,1.5,4,2.75,1992
"11759",420272137,380000,2018-12-28,2009-06-01,0.1515,"0","0",4215,"0","1","0","0","1","1","0",2893,"6","5","1","0","0","1","1","0",1,2,4,2.5,1987
"11760",420272208,278500,2018-03-06,2009-06-01,0.1404,"0","0",4215,"0","1","0","0","1","1","0",1204,"6","4","0","1","0","1","0","0",1,1,3,1,1965
"11761",420273052,150000,2018-07-20,2009-09-01,0.1285,"0","0",4215,"0","1","1","0","1","1","0",408,"6","3","0","0","0","0","0","0",0,1,3,1.75,1990
"11762",420273062,226000,2018-12-18,2009-09-01,0.1285,"0","0",4215,"0","1","1","0","1","1","0",816,"6","3","0","0","0","1","0","0",0,1,2,1,1990
"11763",420273118,190000,2018-03-06,2009-09-01,0.2199,"0","0",4215,"0","1","1","0","1","1","0",1452,"6","5","1","0","0","1","1","0",1,1,2,1,1985
